contigIdx	contigIdxMate	AvgCoverage
182	109	0.0585383
182	182	59.5015
182	205	0.00263815
182	222	0.00442068
183	40	0.0022281
183	130	0.0105139
183	183	64.6004
183	196	0.0105139
183	204	0.0209581
183	205	0.00612728
183	220	0.0525693
183	221	0.0167108
183	242	0.00229773
183	270	0.00779836
183	276	0.0178944
183	283	0.00243699
183	304	0.0312631
183	313	0.00738059
184	29	0.00823224
184	78	0.162045
184	184	33.0466
185	22	0.846304
185	39	0.0544591
185	185	68.1328
186	33	0.389096
186	94	0.0439878
186	147	0.0256454
186	186	30.7889
187	118	0.331866
187	187	40.8611
188	102	0.314034
188	103	0.0513524
188	188	42.7291
189	189	28.8651
189	206	0.23176
190	190	64.6252
191	44	0.00620305
191	113	0.192157
191	191	72.0324
191	204	0.00510028
191	207	0.000723689
192	192	19.5527
193	59	0.00542055
193	90	0.000985554
193	133	0.00783256
193	153	0.0149649
193	193	72.7828
193	195	0.000907747
193	214	0.00376067
193	220	0.00391628
193	256	0.00295666
193	302	0.000804004
194	194	36.1568
194	243	0.412917
195	48	0.526958
195	195	68.1924
195	201	0.00199687
195	242	0.0051271
195	302	0.0270387
195	305	0.0608236
196	14	0.00612799
196	25	0.0018384
196	77	0.0659634
196	177	0.0136567
196	182	0.00271382
196	183	0.00498993
196	193	0.00240742
196	196	65.3164
196	199	0.00245119
196	217	0.0087105
196	220	0.00660947
196	222	0.00420205
196	226	0.0101987
196	256	0.0192156
196	270	0.013788
196	271	0.0050337
196	276	0.00455222
196	283	0.00236365
196	295	0.00481485
196	302	0.0104613
196	304	0.00617176
196	312	0.013394
197	56	0.869499
197	171	1.9315
197	197	34.2935
198	198	19.7026
198	230	0.0676886
198	269	0.00662721
199	199	47.3238
199	247	0.0363649
200	3	0.0965707
200	174	0.57716
200	200	35.369
201	7	0.0117168
201	44	0.0158914
201	141	0.00192942
201	161	0.119624
201	201	73.5702
201	217	0.0105943
201	259	0.0529011
202	96	0.81936
202	202	31.7194
203	103	0.0428947
203	203	34.6964
203	300	0.143079
204	108	0.0136607
204	122	0.0071273
204	183	0.0245496
204	191	0.00851317
204	204	69.9571
204	276	0.0124728
204	302	0.0139576
204	313	0.0115819
205	85	0.000415051
205	105	0.000794526
205	122	0.00142303
205	133	0.00207525
205	148	0.000581071
205	182	0.000237172
205	199	0.000628506
205	205	70.4818
205	222	0.000225313
205	226	0.000581071
205	228	0.000628506
205	256	0.0635384
205	276	0.00149418
205	302	0.00464857
205	311	0.00075895
206	189	0.134163
206	206	30.9762
207	191	0.192775
207	207	29.0077
208	208	19.3589
209	174	0.945389
209	209	38.48
210	0	1.37817
210	210	62.2394
211	73	0.121785
211	211	36.0947
212	138	0.340577
212	212	31.5641
212	269	0.0123257
212	300	0.821927
213	213	53.0451
214	85	0.00744411
214	86	0.00372205
214	153	0.0148636
214	157	0.00226774
214	166	0.00372205
214	193	0.00372205
214	214	66.3427
214	220	0.0186103
214	228	0.00372205
214	247	0.00162686
214	271	0.00744411
214	302	0.00076413
215	35	0.00125477
215	39	0.00148524
215	46	0.00604338
215	99	0.00770787
215	122	0.000819441
215	177	0.0044301
215	199	0.00133159
215	214	0.0054288
215	215	64.7833
215	217	0.000947479
215	270	0.00248393
215	276	0.0040716
215	283	0.0057873
215	302	0.000793834
216	9	0.184749
216	216	31.5113
217	86	0.00329694
217	101	0.00172489
217	122	0.00165939
217	153	0.00283843
217	161	0.0669432
217	166	0.0109825
217	196	0.00482533
217	201	0.00838428
217	217	72.6244
217	220	0.00329694
217	222	0.00161572
217	228	0.00329694
217	271	0.0131659
217	282	0.000742358
218	53	0.0405365
218	95	0.00973671
218	125	0.161053
218	176	0.0940884
218	218	24.0306
219	75	0.0604382
219	219	21.9481
220	85	0.00523905
220	89	0.00291058
220	130	0.00177166
220	148	0.106932
220	167	0.00126547
220	183	0.0137177
220	193	0.00361925
220	196	0.00369517
220	214	0.012022
220	217	0.00354332
220	220	68.0443
220	221	0.00149326
220	226	0.0182734
220	228	0.00131609
220	239	0.00111361
220	256	0.0402926
220	276	0.010225
220	282	0.00177166
220	295	0.00399889
220	302	0.00528967
220	304	0.00445446
221	16	0.00499385
221	183	0.00474054
221	221	72.2385
221	226	0.00419773
221	239	0.00231599
221	246	0.00191793
221	256	0.00303973
222	49	0.00919504
222	86	0.00220681
222	142	0.0026797
222	148	0.00325767
222	161	0.176387
222	167	0.00262715
222	177	0.00362547
222	196	0.00336276
222	201	0.00262715
222	222	79.1632
222	256	0.00241698
222	259	0.0119273
222	283	0.00183901
222	302	0.0944725
223	61	1.68821
223	223	35.053
224	60	0.16488
224	224	21.3603
224	232	0.00109373
225	225	35.3455
225	290	1.29625
225	318	0.775641
226	16	0.0203506
226	17	0.0459002
226	45	0.0971479
226	89	0.0103981
226	196	0.0135175
226	220	0.112151
226	221	0.0172311
226	226	64.9617
226	256	0.00445633
226	302	0.00445633
227	62	0.0162143
227	66	0.424454
227	227	38.0536
228	84	0.0295946
228	191	0.0236756
228	205	0.0446878
228	214	0.0254513
228	217	0.0195324
228	228	49.026
228	239	0.266647
228	275	0.0281148
228	312	2.72152
229	15	0.1539
229	229	32.452
230	158	0.00558524
230	198	0.1644
230	230	17.628
230	303	0.105148
231	2	0.949187
231	231	36.0688
232	27	0.00198394
232	28	0.000770236
232	110	0.0545701
232	158	0.000886939
232	164	0.00105032
232	172	0.0242508
232	224	0.000723555
232	232	21.533
232	241	0.00154047
232	249	0.00144711
232	269	0.00170386
233	77	0.996416
233	233	34.5452
234	234	35.7954
234	283	0.318374
235	6	0.00644625
235	20	0.805157
235	112	0.029528
235	121	0.0128925
235	235	33.6561
235	238	0.0981493
235	284	0.0810979
236	121	0.621235
236	236	35.1613
237	237	43.4669
238	6	0.0777656
238	33	0.0141235
238	112	0.0422551
238	132	0.267885
238	151	0.00201764
238	160	0.00870468
238	235	0.042774
238	238	42.9675
238	284	0.00870468
239	222	0.00999207
239	239	67.5538
240	240	23.9162
240	245	0.661017
241	60	0.0497124
241	107	0.00100169
241	144	0.00111617
241	241	21.2756
241	249	0.00100169
241	264	0.000543774
241	303	0.002032
242	195	0.0910241
242	242	65.4245
242	295	0.0507845
242	302	0.0528092
242	306	0.566644
243	194	1.59395
243	243	31.6413
243	253	0.00723922
244	244	36.8967
244	248	0.270079
244	320	2.01942
245	43	0.218292
245	155	0.362692
245	245	74.482
246	113	0.923361
246	144	0.00611676
246	246	55.8846
246	270	0.00197895
247	85	0.000519985
247	86	0.00129996
247	89	0.0023226
247	199	0.000814643
247	247	66.2435
247	271	0.00523451
247	287	0.000658647
247	311	0.00109197
248	6	0.0812373
248	33	0.0147009
248	112	0.127039
248	151	0.00492862
248	238	0.0397689
248	244	0.112508
248	248	41.3443
248	268	0.00586336
248	284	0.0504759
249	117	0.000558625
249	144	0.0231519
249	232	0.000744833
249	241	0.000496555
249	249	22.1488
249	264	0.000481038
249	269	0.0016138
250	153	0.47668
250	250	21.5909
251	251	28.7012
251	256	0.113362
252	6	0.313576
252	33	0.0506633
252	112	0.228338
252	160	0.00973751
252	235	0.00451595
252	248	0.00649167
252	252	40.9265
252	284	0.0351397
253	253	34.3163
254	16	0.274617
254	37	1.10235
254	156	0.00868175
254	181	0.23989
254	214	0.00936715
254	254	55.4039
254	276	0.0159927
254	287	0.579621
254	311	0.00845328
255	161	0.0174034
255	255	26.8426
255	256	0.0232558
256	86	0.00275603
256	105	0.000839585
256	122	0.00275603
256	153	0.00275603
256	166	0.0137801
256	196	0.00824983
256	205	0.107467
256	220	0.0330723
256	221	0.00275603
256	256	68.3077
256	271	0.00275603
256	275	0.000565807
256	312	0.00275603
257	257	18.0123
257	269	0.00174174
258	55	0.11649
258	258	15.8081
259	37	0.0132637
259	44	0.011388
259	99	0.0120579
